Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","2167","Olive oil","2020","2020","tonnes","821.31","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5510","Production","2167","Olive oil","2020","2020","tonnes","11500","T","Unofficial figure"
"QCL","Crops and livestock products","012","Algeria","5510","Production","2167","Olive oil","2020","2020","tonnes","113600","T","Unofficial figure"
"QCL","Crops and livestock products","032","Argentina","5510","Production","2167","Olive oil","2020","2020","tonnes","30000","T","Unofficial figure"
"QCL","Crops and livestock products","036","Australia","5510","Production","2167","Olive oil","2020","2020","tonnes","9000","T","Unofficial figure"
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","2167","Olive oil","2020","2020","tonnes","1014","A","Official figure"
"QCL","Crops and livestock products","152","Chile","5510","Production","2167","Olive oil","2020","2020","tonnes","21900","T","Unofficial figure"
"QCL","Crops and livestock products","191","Croatia","5510","Production","2167","Olive oil","2020","2020","tonnes","4400","T","Unofficial figure"
"QCL","Crops and livestock products","196","Cyprus","5510","Production","2167","Olive oil","2020","2020","tonnes","4800","T","Unofficial figure"
"QCL","Crops and livestock products","818","Egypt","5510","Production","2167","Olive oil","2020","2020","tonnes","36000","T","Unofficial figure"
"QCL","Crops and livestock products","222","El Salvador","5510","Production","2167","Olive oil","2020","2020","tonnes","1535.56","I","Imputed value"
"QCL","Crops and livestock products","250","France","5510","Production","2167","Olive oil","2020","2020","tonnes","3800","T","Unofficial figure"
"QCL","Crops and livestock products","300","Greece","5510","Production","2167","Olive oil","2020","2020","tonnes","308000","T","Unofficial figure"
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5510","Production","2167","Olive oil","2020","2020","tonnes","6617.79","I","Imputed value"
"QCL","Crops and livestock products","376","Israel","5510","Production","2167","Olive oil","2020","2020","tonnes","16800","T","Unofficial figure"
"QCL","Crops and livestock products","380","Italy","5510","Production","2167","Olive oil","2020","2020","tonnes","330879","A","Official figure"
"QCL","Crops and livestock products","400","Jordan","5510","Production","2167","Olive oil","2020","2020","tonnes","24402","A","Official figure"
"QCL","Crops and livestock products","422","Lebanon","5510","Production","2167","Olive oil","2020","2020","tonnes","18000","T","Unofficial figure"
"QCL","Crops and livestock products","434","Libya","5510","Production","2167","Olive oil","2020","2020","tonnes","16500","E","Estimated value"
"QCL","Crops and livestock products","470","Malta","5510","Production","2167","Olive oil","2020","2020","tonnes","0.15","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5510","Production","2167","Olive oil","2020","2020","tonnes","610.5","I","Imputed value"
"QCL","Crops and livestock products","499","Montenegro","5510","Production","2167","Olive oil","2020","2020","tonnes","19.52","I","Imputed value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","2167","Olive oil","2020","2020","tonnes","164600","T","Unofficial figure"
"QCL","Crops and livestock products","807","North Macedonia","5510","Production","2167","Olive oil","2020","2020","tonnes","1301.1","I","Imputed value"
"QCL","Crops and livestock products","275","Palestine","5510","Production","2167","Olive oil","2020","2020","tonnes","14408","A","Official figure"
"QCL","Crops and livestock products","604","Peru","5510","Production","2167","Olive oil","2020","2020","tonnes","1551","A","Official figure"
"QCL","Crops and livestock products","620","Portugal","5510","Production","2167","Olive oil","2020","2020","tonnes","107000","A","Official figure"
"QCL","Crops and livestock products","705","Slovenia","5510","Production","2167","Olive oil","2020","2020","tonnes","698.66","I","Imputed value"
"QCL","Crops and livestock products","724","Spain","5510","Production","2167","Olive oil","2020","2020","tonnes","1356411","A","Official figure"
"QCL","Crops and livestock products","760","Syrian Arab Republic","5510","Production","2167","Olive oil","2020","2020","tonnes","138217","A","Official figure"
"QCL","Crops and livestock products","788","Tunisia","5510","Production","2167","Olive oil","2020","2020","tonnes","373100","T","Unofficial figure"
"QCL","Crops and livestock products","792","Türkiye","5510","Production","2167","Olive oil","2020","2020","tonnes","240100","T","Unofficial figure"
"QCL","Crops and livestock products","804","Ukraine","5510","Production","2167","Olive oil","2020","2020","tonnes","0","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","2167","Olive oil","2020","2020","tonnes","16000","A","Official figure"
"QCL","Crops and livestock products","858","Uruguay","5510","Production","2167","Olive oil","2020","2020","tonnes","295","A","Official figure"
